
##################################################
#             Conservación de Energía            #
##################################################

Step, tiempo, energía total
341, 3.41, 0.343398
342, 3.42, 0.342609
343, 3.43, 0.341822
344, 3.44, 0.341039
345, 3.45, 0.340258
346, 3.46, 0.339481
347, 3.47, 0.338706
348, 3.48, 0.337935
349, 3.49, 0.337166
350, 3.5, 0.3364
351, 3.51, 0.335637
352, 3.52, 0.334877
353, 3.53, 0.33412
354, 3.54, 0.333366
355, 3.55, 0.332614
356, 3.56, 0.331866
357, 3.57, 0.33112
358, 3.58, 0.330377
359, 3.59, 0.329636
360, 3.6, 0.328899
361, 3.61, 0.328164
362, 3.62, 0.327432
363, 3.63, 0.326703
364, 3.64, 0.325976
365, 3.65, 0.325253
366, 3.66, 0.324531
367, 3.67, 0.323813
368, 3.68, 0.323097
369, 3.69, 0.322384
370, 3.7, 0.321673
371, 3.71, 0.320965
372, 3.72, 0.32026
373, 3.73, 0.319557
374, 3.74, 0.318857
375, 3.75, 0.31816
376, 3.76, 0.317464
377, 3.77, 0.316772
378, 3.78, 0.316082
379, 3.79, 0.315395
380, 3.8, 0.31471
381, 3.81, 0.314027
382, 3.82, 0.313347
383, 3.83, 0.31267
384, 3.84, 0.311995
385, 3.85, 0.311322
386, 3.86, 0.310652
387, 3.87, 0.309984
388, 3.88, 0.309319
389, 3.89, 0.308656
390, 3.9, 0.307995
391, 3.91, 0.307337
392, 3.92, 0.306681
393, 3.93, 0.306027
394, 3.94, 0.305376
395, 3.95, 0.304727
396, 3.96, 0.304081
397, 3.97, 0.303437
398, 3.98, 0.302795
399, 3.99, 0.302155
400, 4, 0.301518
401, 4.01, 0.300883
402, 4.02, 0.30025
403, 4.03, 0.299619
404, 4.04, 0.298991
405, 4.05, 0.298364
406, 4.06, 0.29774
407, 4.07, 0.297119
408, 4.08, 0.296499
409, 4.09, 0.295882
410, 4.1, 0.295266
411, 4.11, 0.294653
412, 4.12, 0.294042
413, 4.13, 0.293433
414, 4.14, 0.292827
415, 4.15, 0.292222
416, 4.16, 0.29162
417, 4.17, 0.291019
418, 4.18, 0.290421
419, 4.19, 0.289824
420, 4.2, 0.28923
421, 4.21, 0.288638
422, 4.22, 0.288048
423, 4.23, 0.28746
424, 4.24, 0.286874
425, 4.25, 0.28629
426, 4.26, 0.285708
427, 4.27, 0.285128
428, 4.28, 0.28455
429, 4.29, 0.283974
430, 4.3, 0.283399
431, 4.31, 0.282827
432, 4.32, 0.282257
433, 4.33, 0.281689
434, 4.34, 0.281123
435, 4.35, 0.280558
436, 4.36, 0.279996
437, 4.37, 0.279435
438, 4.38, 0.278876
439, 4.39, 0.278319
440, 4.4, 0.277765
441, 4.41, 0.277211
442, 4.42, 0.27666
443, 4.43, 0.276111
444, 4.44, 0.275563
445, 4.45, 0.275018
446, 4.46, 0.274474
447, 4.47, 0.273932
448, 4.48, 0.273392
449, 4.49, 0.272853
450, 4.5, 0.272316
451, 4.51, 0.271782
452, 4.52, 0.271249
453, 4.53, 0.270717
454, 4.54, 0.270188
455, 4.55, 0.26966
456, 4.56, 0.269134
457, 4.57, 0.268609
458, 4.58, 0.268087
459, 4.59, 0.267566
460, 4.6, 0.267047
461, 4.61, 0.266529
462, 4.62, 0.266014
463, 4.63, 0.2655
464, 4.64, 0.264987
465, 4.65, 0.264476
466, 4.66, 0.263967
467, 4.67, 0.26346
468, 4.68, 0.262954
469, 4.69, 0.26245
470, 4.7, 0.261948
471, 4.71, 0.261447
472, 4.72, 0.260948
473, 4.73, 0.26045
474, 4.74, 0.259954
475, 4.75, 0.25946
476, 4.76, 0.258967
477, 4.77, 0.258476
478, 4.78, 0.257986
479, 4.79, 0.257498
480, 4.8, 0.257012
481, 4.81, 0.256527
482, 4.82, 0.256043
483, 4.83, 0.255561
484, 4.84, 0.255081
485, 4.85, 0.254602
486, 4.86, 0.254125
487, 4.87, 0.253649
488, 4.88, 0.253175
489, 4.89, 0.252702
490, 4.9, 0.252231
491, 4.91, 0.251761
492, 4.92, 0.251293
493, 4.93, 0.250826
494, 4.94, 0.250361
495, 4.95, 0.249897
496, 4.96, 0.249435
497, 4.97, 0.248974
498, 4.98, 0.248515
499, 4.99, 0.248057
500, 5, 0.2476
501, 5.01, 0.247145
502, 5.02, 0.246691
503, 5.03, 0.246239
504, 5.04, 0.245788
505, 5.05, 0.245338
506, 5.06, 0.24489
507, 5.07, 0.244443
508, 5.08, 0.243998
509, 5.09, 0.243554
510, 5.1, 0.243111
511, 5.11, 0.24267
512, 5.12, 0.24223
513, 5.13, 0.241792
514, 5.14, 0.241355
515, 5.15, 0.240919
516, 5.16, 0.240484
517, 5.17, 0.240051
518, 5.18, 0.239619
519, 5.19, 0.239189
520, 5.2, 0.238759
521, 5.21, 0.238332
522, 5.22, 0.237905
523, 5.23, 0.23748
524, 5.24, 0.237056
525, 5.25, 0.236633
526, 5.26, 0.236211
527, 5.27, 0.235791
528, 5.28, 0.235372
529, 5.29, 0.234955
530, 5.3, 0.234538
531, 5.31, 0.234123
532, 5.32, 0.233709
533, 5.33, 0.233297
534, 5.34, 0.232885
535, 5.35, 0.232475
536, 5.36, 0.232066
537, 5.37, 0.231659
538, 5.38, 0.231252
539, 5.39, 0.230847
540, 5.4, 0.230443
541, 5.41, 0.23004
542, 5.42, 0.229638
543, 5.43, 0.229238
544, 5.44, 0.228839
545, 5.45, 0.228441
546, 5.46, 0.228044
547, 5.47, 0.227648
548, 5.48, 0.227253
549, 5.49, 0.22686
